Team,HalfTime,SecondHalf,Ratio,Wins
Arsenal,30,44,0.5945945945945946,19
Bournemouth,17,28,0.6222222222222222,11
Brighton,16,18,0.5294117647058824,9
Burnley,16,20,0.5555555555555556,14
Chelsea,30,32,0.5161290322580645,21
Crystal Palace,18,27,0.6,11
Everton,15,29,0.6590909090909091,13
Huddersfield,15,13,0.4642857142857143,9
Leicester,26,30,0.5357142857142857,12
Liverpool,35,49,0.5833333333333334,21
Man City,45,61,0.5754716981132075,32
Man United,29,39,0.5735294117647058,25
Newcastle,16,23,0.5897435897435898,12
Southampton,16,21,0.5675675675675675,7
Stoke,17,18,0.5142857142857142,7
Swansea,10,18,0.6428571428571429,8
Tottenham,27,47,0.6351351351351351,23
Watford,17,27,0.6136363636363636,11
West Brom,12,19,0.6129032258064516,6
West Ham,20,28,0.5833333333333334,10
